OBJECTID;UEA;PROY_COD;PROYECTO;MUESTRA;ESTE;NORTE;ELEVACION;PROYECCION;FECHA;GEOLOGO;TIPO_MATERIAL;ZONA;ANCHO;AZIMUT_STR;BUZAMIENTO_STR;ROCA_GENERAL;ALTERACION;ALT_INTENSIDAD;MINERALIZACION;TIPO_MINERALIZACION;TIPO_ESTRUCTURA;MIN_PRINCIPAL;MIN_SECUNDARIO;OBSERVACION;SINCRONIZACION;Au_ppm;Aucn_ppm;Ag_ppm;Al_pct;As_ppm;B_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Ge_ppm;Hf_ppm;Hg_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Lu_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Se_ppm;Sc_ppm;Sn_ppm;Sr_ppm;Ta_ppm;Te_ppm;Tb_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Yb_ppm;Zn_ppm;Zr_ppm;TARGET
10435;TM;GAB;GABY;BWTBMEX5878;194881.2131;8293834.556;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.25;;;Volc;Argl;Mod;Si;Parch;;;;Rca alterada argilizada con arrastre de cuarzo blanco hialino triturado relleno de arcillas hematita pirulosita pirita diseminada;21/11/2019 07:00;0.005;;0.2;1.57;72;;46;0.5;5;0.78;1;;10;4;;13.3;3.92;10;;;1;;0.14;9.2;;;0.51;264;1;0.08;1;3;0.09;16;;;0.26;5;;4.9;10;46.8;;0.01;;;0.01;2;;61;10;4.9;;51;7;GABY
10436;TM;GAB;GABY;BWTBMEX5877;194880.9031;8293834.847;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.6;;;;;;;;Led;Sil;Cal;Estructura silico-argilico brechada fracturado bandeamiento de calcita;21/11/2019 07:00;0.005;;0.2;1.34;48;;51;0.5;5;0.6;1;;9;5;;12.2;3.17;10;;;1;;0.14;10.4;;;0.59;278;1;0.11;1;5;0.07;17;;;0.41;5;;5.1;10;49.2;;0.094;;;0.02;2;;58;10;5.8;;52.1;7.5;GABY
10437;TM;GAB;GABY;BWTBMEX5876;194880.4235;8293835.287;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.7;;;;;;;;Led;Sil;Cal;Estructura silico-argilico brechada fracturado venillas de calcita;21/11/2019 07:00;0.005;;0.2;1.59;87;;53;0.5;5;0.65;3;;20;13;;13.3;3.17;10;;;2;;0.14;14.3;;;0.89;473;1;0.08;1;1;0.08;8;;;0.17;5;;4.5;10;55.2;;0.007;;;0.02;2;;48;10;7.9;;76.6;7;GABY
10438;TM;GAB;GABY;BWTBMEX5874;194880.0527;8293835.626;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;Led;Sil;Cal;Estructura silico-argilico brechada bandeamiento de calcita;21/11/2019 07:00;0.005;;0.2;1.79;122;;49;0.5;5;1.01;1;;12;7;;12.2;3.25;10;;;3;;0.14;15.3;;;0.65;353;1;0.09;1;6;0.08;17;;;0.04;5;;4.6;10;76.6;;0.013;;;0.01;2;;51;10;8.4;;72.7;7.3;GABY
10439;TM;GAB;GABY;BWTBMEX5873;194879.7232;8293835.926;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Argl;Mod;Si;Frc;;;;Rca argilizada alterada fracturada oxido de fierro;21/11/2019 07:00;0.005;;0.2;1.54;54;;45;0.5;5;0.78;1;;16;18;;12;3.25;10;;;1;;0.15;14.9;;;0.84;282;1;0.14;1;9;0.08;25;;;0.1;5;;5.6;10;51.5;;0.019;;;0.01;2;;63;10;8.5;;71.8;8.5;GABY
10440;TM;GAB;GABY;BWTBMEX5872;194879.3936;8293836.237;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;F;Pnz;Qz;Estructura argilizada alterada  con relleno de panizo  oxido de fierro  con arrastre de cuarzo blanco hialino pirita diseminada;21/11/2019 07:00;0.005;;0.2;1.68;90;;42;0.5;5;0.92;1;;13;4;;7.5;3.39;10;;;1;;0.12;9.3;;;0.87;289;1;0.11;1;4;0.06;10;;;0.06;5;;5;10;63.9;;0.005;;;0.01;2;;61;10;5.5;;71.7;7.2;GABY
10441;TM;GAB;GABY;BWTBMEX5871;194879.1228;8293836.487;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.45;;;;;;;;Vt;Qz;Cal;Veta de cuarzo blanco hialino craquelado venillas decalcita  con relleno de arcillas;21/11/2019 07:00;0.007;;0.2;2.34;100;;50;1.4;5;1.28;1;;45;4;;32.5;3.12;10;;;1;;0.19;32.6;;;0.32;1716;1;0.06;1;8;0.07;13;;;0.04;5;;5.7;10;66.1;;0.017;;;0.01;2;;52;10;21.6;;117;5.8;GABY
10442;TM;GAB;GABY;BWTBMEX5870;194878.6236;8293836.946;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.9;;;;;;;;;;;Caballo roca;21/11/2019 07:00;0.005;;0.2;1.12;13;;39;0.5;5;2.09;1;;8;14;;3.7;3.18;10;;;2;;0.22;18.8;;;0.51;708;1;0.09;1;5;0.08;7;;;0.01;5;;4.8;10;53.5;;0.008;;;0.07;2;;128;10;10.3;;63;10.1;GABY
10443;TM;GAB;GABY;BWTBMEX5869;194878.1832;8293837.346;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.3;;;Volc;Argl;Mod;Si;Vnll;;;;Rca alterrada argilizada fracturada con venillas de calcita;21/11/2019 07:00;0.005;;0.2;1.33;24;;40;0.5;5;2.79;1;;11;6;;4.4;2.87;10;;;1;;0.21;18.4;;;0.6;725;1;0.07;1;5;0.08;13;;;0.01;5;;4.4;10;75.3;;0.042;;;0.06;2;;149;10;10.7;;71.7;8.8;GABY
10444;TM;GAB;GABY;BWTBMEX5868;194878.0135;8293837.506;4920.15;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.15;;;;;;;;Vt;Qz;Cal;Estructura de cuarzo blanco hialino brechada alteracion argilica venillas de calcita pirita diseminada;21/11/2019 07:00;0.005;;0.2;1.53;27;;38;0.5;5;2.2;1;;18;6;;4.5;2.42;10;;;1;;0.2;16.4;;;0.59;500;1;0.08;1;4;0.07;13;;;0.09;5;;3.9;10;75.2;;0.012;;;0.03;2;;111;10;9.6;;70.1;7.7;GABY
10445;TM;GAB;GABY;BWTBMEX5867;195003.2928;8293848.396;4888.1;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.8;;;;;;;;;;;Estructura alterada fracturada brechada  con venillas de cuarzo blanco hialino y calcita  oxido de fierro;21/11/2019 07:00;0.005;;0.2;1.08;38;;31;0.5;5;1.65;1;;13;10;;2.3;2.98;10;;;3;;0.27;19.1;;;0.55;622;1;0.05;1;5;0.08;9;;;0.64;5;;3.8;10;21.2;;0.073;;;0.01;2;;53;10;10.4;;62.5;9.2;GABY
10446;TM;GAB;GABY;BWTBMEX5866;195002.6828;8293847.816;4888.1;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.9;;;Volc;Argl;Mod;Si;Vnll;;;;Rca argilizada fracturada con venilleo de calcita;21/11/2019 07:00;0.005;;0.2;1.56;21;;74;0.5;5;2.06;1;;19;8;;3.4;3.21;10;;;1;;0.65;20;;;0.69;766;1;0.18;1;6;0.08;10;;;0.16;5;;5.3;10;34.9;;0.016;;;0.09;2;;88;10;10.8;;78.2;17.5;GABY
10447;TM;GAB;GABY;BWTBMEX5865;195001.9932;8293847.236;4888.1;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.9;;;;;;;;;;;Caballo roca;21/11/2019 07:00;0.005;;0.2;1.04;25;;28;0.5;5;2.27;1;;16;9;;5.6;3.15;10;;;2;;0.22;19.3;;;0.5;776;1;0.05;1;6;0.08;12;;;0.17;6;;4.8;10;20.8;;0.054;;;0.04;2;;103;10;10.1;;74.4;10;GABY
10448;TM;GAB;GABY;BWTBMEX5864;195001.3637;8293846.666;4888.1;P56U19S;26-Nov-13;"Rosas; Mario";Estructura;Afloramiento;0.5;;;;;;;;Led;Sil;;Estructura silico-argilico brechada;21/11/2019 07:00;0.005;;0.2;0.93;52;;29;0.5;5;0.35;1;;8;14;;3.8;3.54;10;;;1;;0.24;11.3;;;0.26;301;1;0.04;1;1;0.07;7;;;0.5;5;;3.6;10;17.7;;0.025;;;0.01;2;;63;10;5.8;;47;8.1;GABY
10449;TM;GAB;GABY;BWTBMEX5863;195000.8228;8293846.136;4888.1;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.7;;;Volc;Argl;Mod;Si;Vnll;;;;Rca argilizada alterada fracturada con relleno de arcillas  venillas de cuarzo blanco hialino;21/11/2019 07:00;0.005;;0.2;1.23;44;;33;0.5;5;1.32;1;;17;6;;9.4;3.77;10;;;1;;0.21;21;;;0.51;1063;1;0.05;1;7;0.08;16;;;0.45;5;;4.6;10;23.8;;0.068;;;0.02;2;;73;10;12.4;;80.5;10.7;GABY
10450;TM;GAB;GABY;BWTBMEX5862;194993.9136;8293838.996;4889;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.3;;;Volc;Argl;Mod;Si;Vnll;;;;Rca argiica fracturada con relleno de arcillas venillas de calcita  brechada oxido de fierro;21/11/2019 07:00;0.005;;0.9;1.1;55;;39;0.5;5;0.4;1;;15;9;;32.2;2.68;10;;;1;;0.21;14.2;;;0.53;350;1;0.05;1;7;0.08;20;;;0.98;5;;4.5;10;17.5;;0.147;;;0.01;2;;54;10;7.1;;51.4;8.2;GABY
10451;TM;GAB;GABY;BWTBMEX5861;194993.6627;8293838.556;4889;P56U19S;26-Nov-13;"Rosas; Mario";Roca;Afloramiento;0.7;;;Volc;Argl;Deb;Si;Vnll;;;;Rca argilizacion alterada fracturada con venillas de calcita oxido de fierro pirita cubica;21/11/2019 07:00;0.006;;0.2;1.48;38;;50;0.5;8;0.63;1;;20;26;;22.4;2.69;10;;;2;;0.18;15.8;;;0.72;386;1;0.11;1;8;0.08;24;;;1.34;7;;5.4;10;34.1;;0.005;;;0.02;2;;62;10;8.1;;86.3;8.6;GABY
11412;TM;GAB;GABY;BWEX005976;194749.28;8293842.52;4945.8;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.2;;;;;;;;Vt;Cal;Ox;"Veta calcita hidrotemal brechada relleno de arcillas óxido de manganeso;óxido de fierro clorita";21/11/2019 07:00;0.005;;0.2;0.82;13;;22;0.6;5;15;1;;17;3;;4.8;1.87;10;;;1;;0.12;20.2;;;0.27;1176;1;0.04;1;6;0.07;18;;;0.02;5;;3.4;10;66.1;;0.089;;;0.01;2;;45;10;10.3;;59;11.5;GABY
11413;TM;GAB;GABY;BWEX005974;194749.09;8293842.46;4945.8;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;F;Pnz;Cal;Estructura alterada argilizada con panizo clorita venillas de calcita óxido de fierro óxido de manganeso;21/11/2019 07:00;0.005;;0.2;0.74;7;;46;0.6;5;2.52;1;;11;10;;4.5;2.39;10;;;1;;0.2;27.1;;;0.26;718;1;0.06;1;4;0.13;9;;;0.01;5;;3.3;10;85.4;;0.056;;;0.03;2;;64;10;12;;61.3;12.9;GABY
11414;TM;GAB;GABY;BWEX005973;194748.81;8293842.36;4945.8;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;Vnll;Cal;Ox;"Estructura alterada argilizada con venillas de calcita ;arcillas óxido de fierro;óxido de manganeso";21/11/2019 07:00;0.005;;0.2;0.78;13;;59;0.6;5;4.55;1;;10;6;;8.6;3.37;10;;;1;;0.23;27.5;;;0.26;1054;1;0.05;1;5;0.12;17;;;0.01;5;;3.6;10;145;;0.245;;;0.04;2;;63;10;13;;68.3;17;GABY
11415;TM;GAB;GABY;BWEX005972;194769.07;8293846.26;4944.5;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;Vnll;Cal;Ox;"Estructura alterada argilizada con venillas de calcita ;arcillas óxido de fierro;óxido de manganeso";21/11/2019 07:00;0.005;;0.2;0.78;34;;65;0.7;5;0.67;1;;12;13;;8;3.71;10;;;1;;0.3;25.6;;;0.14;872;1;0.05;1;4;0.11;15;;;0.01;5;;4.4;10;94.2;;0.17;;;0.06;2;;43;10;13.5;;70.5;16.4;GABY
11416;TM;GAB;GABY;BWEX005971;194769.11;8293845.96;4944.5;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.15;;;;;;;;Vt;Cal;Ox;"Veta calcita hidrotemal brechada relleno de arcillas óxido de manganeso;óxido de fierro clorita";21/11/2019 07:00;0.005;;0.2;0.54;91;;23;0.9;5;15;1;;16;6;;2.5;4.05;10;;;1;;0.13;23.2;;;0.1;1684;1;0.03;1;8;0.05;16;;;0.16;5;;3.8;10;66.5;;0.301;;;0.02;2;;33;10;12.5;;93.7;12.7;GABY
11417;TM;GAB;GABY;BWEX005970;194782.08;8293850.72;4943.7;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.2;;;;;;;;Vnll;Cal;Ox;"Estructura alterada argilizada con venillas de calcita ;arcillas óxido de fierro;óxido de manganeso";21/11/2019 07:00;0.005;;0.2;1.13;40;;89;0.6;5;0.84;1;;12;9;;8.3;3.34;10;;;1;;0.23;25.1;;;0.25;672;1;0.06;1;3;0.12;18;;;0.01;5;;4.2;10;135;;0.159;;;0.06;2;;32;10;13.8;;60.5;15.3;GABY
11418;TM;GAB;GABY;BWEX005969;194782.09;8293850.52;4943.7;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.15;;;;;;;;Vt;Pnz;Cal;"Veta falla panizo con bandeamiento de calcita hidrotermal óxido de fierro;óxido de manganeso clorita";21/11/2019 07:00;0.005;;0.2;1.07;42;;59;1;5;4.98;1;;31;13;;7;4.04;10;;;1;;0.19;29.9;;;0.21;1207;1;0.05;1;13;0.1;26;;;0.02;5;;4;10;94.8;;0.186;;;0.02;2;;42;10;15;;107;15.1;GABY
11419;TM;GAB;GABY;BWEX005968;194804.9;8293849.16;4943.8;P56U19S;18-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.6;;;Volc;Inalt;;Si;Vnll;;;;"Caja piso roca flujo de lavas de textura porfirítica con venillas de calcita ;arcillas óxido de manganeso";21/11/2019 07:00;0.005;;0.2;0.93;6;;43;0.5;5;1.2;1;;10;13;;7.2;2.85;10;;;1;;0.14;26.7;;;0.39;345;1;0.06;1;2;0.13;16;;;0.01;5;;5;10;82.1;;0.148;;;0.05;2;;86;10;13;;53.2;16.4;GABY
11420;TM;GAB;GABY;BWEX005967;194804.79;8293848.56;4943.8;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.1;;;;;;;;Vt;Cal;Ox;"Veta falla con arrastre de calcita hidrotermal;hematita clorita";21/11/2019 07:00;0.005;;0.3;1.55;10;;71;0.9;5;7.47;1;;20;12;;5.7;3.41;10;;;1;;0.18;27;;;0.37;871;1;0.09;1;5;0.1;19;;;0.05;5;;3.1;10;275;;0.197;;;0.02;2;;57;10;17.1;;84;17;GABY
11421;TM;GAB;GABY;BWEX005966;194821.85;8293842.18;4940.5;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;Vt;Cal;Ox;"Veta falla panizo con arrastre de calcita hidrotermal triturado;hematita óxido de manganeso";21/11/2019 07:00;0.005;;0.9;1.57;14;;40;0.9;5;10.89;1;;17;8;;8.8;2.68;10;;;1;;0.15;20.7;;;0.18;1193;1;0.08;1;5;0.07;8;;;0.02;5;;2.7;10;90.4;;0.166;;;0.01;2;;37;10;9.9;;77.5;22.3;GABY
11422;TM;GAB;GABY;BWEX005965;194040;8293027;5206;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;1.5;;;;;;;;Vt;Qz;Cal;Veta falla con una banda de 0.40 m. de cuarzo coloforme +-20% con parches de calcita +-3% óxido de hematita +-5% clorita +-5%;21/11/2019 07:00;0.005;;0.2;0.47;3;;55;0.5;5;0.19;1;;4;149;;10;1.85;10;;;1;;0.09;8.6;;;0.07;440;1;0.01;1;7;0.03;4;;;0.05;5;;1.2;10;5.5;;0.181;;;0.01;2;;10;10;3.5;;35;1.4;GABY
11423;TM;GAB;GABY;BWEX005964;194001;8293070;5210;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;F;Cal;Qz;Estructura argílica con arrastre de cuarzo blanco lixiviado oqueroso+-3% calcita+-20% panizo+-5% óxido de manganeso+-2%;21/11/2019 07:00;0.005;;0.2;1.3;54;;76;1.3;5;0.15;1;;15;80;;72.6;1.84;10;;;1;;0.1;10.5;;;0.08;349;1;0.01;1;10;0.03;5;;;0.29;5;;2.9;10;7.5;;0.181;;;0.01;2;;20;10;8.4;;57.3;1.8;GABY
11424;TM;GAB;GABY;BWEX005963;199512;8291591;4850;P56U19S;18-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;1;;;;;;;;F;Cal;Qz;"Estructura falla ;calcita hidrotermal con parches de cuarzo blanco con venillas de pirita pátinas de clorita (labor informal)";21/11/2019 07:00;0.025;;1.5;0.48;1158;;32;0.5;5;15;1;;7;15;;8.2;1.69;10;;;1;;0.21;10.7;;;0.15;2121;5;0.01;1;10;0.02;25;;;1.19;9;;1.9;10;244;;0.128;;;0.01;2;;7;10;3.4;;22.5;1.4;GABY
