OBJECTID;UEA;PROY_COD;PROYECTO;MUESTRA;ESTE;NORTE;ELEVACION;PROYECCION;FECHA;GEOLOGO;TIPO_MATERIAL;ZONA;ANCHO;AZIMUT_STR;BUZAMIENTO_STR;ROCA_GENERAL;ALTERACION;ALT_INTENSIDAD;MINERALIZACION;TIPO_MINERALIZACION;TIPO_ESTRUCTURA;MIN_PRINCIPAL;MIN_SECUNDARIO;OBSERVACION;SINCRONIZACION;Au_ppm;Aucn_ppm;Ag_ppm;Al_pct;As_ppm;B_ppm;Ba_ppm;Be_ppm;Bi_ppm;Ca_pct;Cd_ppm;Ce_ppm;Co_ppm;Cr_ppm;Cs_ppm;Cu_ppm;Fe_pct;Ga_ppm;Ge_ppm;Hf_ppm;Hg_ppm;In_ppm;K_pct;La_ppm;Li_ppm;Lu_ppm;Mg_pct;Mn_ppm;Mo_ppm;Na_pct;Nb_ppm;Ni_ppm;P_pct;Pb_ppm;Rb_ppm;Re_ppm;S_pct;Sb_ppm;Se_ppm;Sc_ppm;Sn_ppm;Sr_ppm;Ta_ppm;Te_ppm;Tb_ppm;Th_ppm;Ti_pct;Tl_ppm;U_ppm;V_ppm;W_ppm;Y_ppm;Yb_ppm;Zn_ppm;Zr_ppm;TARGET
10407;TM;GAB;GABY;BWTBMEX5907;194907.5235;8293814.496;4911.6;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.4;;;;;;;;Vt;Sil;Qz;Estructura silicificada bandeamiento de cuarzo blanco hialino triturado pirita diseminada hematita oxido de manganeso;21/11/2019 07:00;0.005;;0.9;1.03;30;;44;0.5;5;0.18;1;;11;20;;39.4;3.73;10;;;1;;0.23;11;;;0.48;259;1;0.03;1;1;0.08;27;;;0.75;5;;4.8;10;17.1;;0.005;;;0.02;2;;74;10;4.5;;43.4;7.7;GABY
10408;TM;GAB;GABY;BWTBMEX5906;194907.7029;8293815.066;4911.6;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.8;;;;;;;;Led;Sil;Qz;Estrctura silico-argilico fracturada con bandeamento de cuarzo blanco hialino;21/11/2019 07:00;0.005;;0.2;0.89;54;;39;0.5;5;0.12;1;;8;10;;17.9;3.52;10;;;1;;0.23;9.9;;;0.35;373;1;0.04;1;1;0.08;25;;;0.28;5;;4.6;10;15.9;;0.005;;;0.02;2;;68;10;4.3;;38.5;7.6;GABY
10409;TM;GAB;GABY;BWTBMEX5905;194907.8733;8293815.586;4911.6;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.3;;;Volc;Argl;Mod;No;;;;;Rca argiizada brechada;21/11/2019 07:00;0.005;;6.7;0.97;200;;45;0.5;5;0.21;1;;4;12;;26.3;3.34;10;;;1;;0.27;6.9;;;0.18;78;1;0.03;1;1;0.08;63;;;0.07;5;;3.5;10;14.4;;0.005;;;0.01;2;;52;10;2.3;;29.7;7.3;GABY
10410;TM;GAB;GABY;BWTBMEX5904;194898.7931;8293816.326;4911.9;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;F;Pnz;Qz;falla panizo con arrastre de cuarzo blanco hialino triturado venillas de calcita;21/11/2019 07:00;0.005;;0.4;1.44;48;;46;0.7;5;1.23;1;;16;11;;17.1;3.38;10;;;1;;0.15;21.3;;;0.67;544;1;0.06;1;4;0.08;22;;;0.27;5;;5.4;10;31.1;;0.005;;;0.01;2;;71;10;11.1;;84.9;7.3;GABY
10411;TM;GAB;GABY;BWTBMEX5903;194898.2734;8293815.987;4911.9;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.9;;;Volc;Inalt;;Si;Diss;;;;Caballo roca flujo de lavas de textura afanitica pirita diseminada oxido de fierro;21/11/2019 07:00;0.005;;0.8;1.43;18;;44;0.5;5;0.52;1;;19;15;;20.6;3.31;10;;;1;;0.18;21;;;0.91;454;1;0.08;1;4;0.09;17;;;0.31;5;;5.3;10;27.2;;0.034;;;0.02;2;;76;10;10.6;;78.7;6.9;GABY
10412;TM;GAB;GABY;BWTBMEX5902;194897.763;8293815.667;4911.9;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.3;;;;;;;;Vt;Cal;;Estructura de calcita;21/11/2019 07:00;0.005;;1.2;1.25;24;;34;0.9;5;0.74;1;;16;17;;9.4;3.98;10;;;1;;0.23;24.8;;;0.64;653;1;0.05;1;5;0.08;26;;;0.15;6;;4.7;10;19.3;;0.066;;;0.02;2;;91;10;13.1;;74;7.5;GABY
10413;TM;GAB;GABY;BWTBMEX5901;194888.8228;8293813.456;4911.2;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.3;;;Volc;Argl;Mod;No;;;;;Rca argilizada alterada;21/11/2019 07:00;0.047;;591;1.15;53;;45;0.5;5;0.35;1;;11;31;;31.1;2.95;10;;;1;;0.18;12.2;;;0.89;295;1;0.09;1;4;0.07;490;;;0.26;50;;5.6;10;30.4;;0.005;;;0.02;2;;65;10;5.2;;655;7.5;GABY
10414;TM;GAB;GABY;BWTBMEX5899;194888.7734;8293814.106;4911.2;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;1;;;Volc;Inalt;;Si;Diss;;;;Caballo roca flujo de lavas de textura afanitica pirita diseminada oxido de fierro;21/11/2019 07:00;0.005;;1.5;1.31;28;;39;0.6;5;1.64;1;;19;17;;17.3;3.37;10;;;1;;0.18;23.1;;;1.19;827;1;0.07;1;5;0.08;25;;;0.27;8;;6.7;17;33.6;;0.005;;;0.06;2;;75;10;11.8;;120;9.8;GABY
10415;TM;GAB;GABY;BWTBMEX5898;194888.7332;8293814.707;4911.2;P56U19S;3-Dec-2013;"Rosas; Mario";Roca;Afloramiento;0.2;;;Volc;Argl;Mod;Si;Parch;;;;Rca argilizada altetrada con arrastre de cuarzo blanco hialino panizo hematita pirulosita.;21/11/2019 07:00;0.005;;3.5;1.25;47;;47;0.6;5;2.05;1;;15;30;;15.3;3.57;10;;;1;;0.2;17.4;;;0.77;732;2;0.08;1;5;0.07;27;;;0.49;7;;7.5;16;35.7;;0.005;;;0.02;2;;79;10;10.1;;117;9.5;GABY
10416;TM;GAB;GABY;BWTBMEX5897;194888.7231;8293814.906;4911.2;P56U19S;3-Dec-2013;"Rosas; Mario";Estructura;Afloramiento;0.2;;;;;;;;Led;Sil;Qz;Estructura fracturada silico-argilico con bandeamiento de cuarzo blanco hialino brechada;21/11/2019 07:00;0.013;;1.5;1.47;15;;49;0.5;5;1.32;1;;17;25;;12.1;3.26;10;;;1;;0.2;20.8;;;1.23;814;1;0.13;1;4;0.08;42;;;0.03;5;;7.7;11;44.4;;0.005;;;0.09;2;;93;10;10.1;;132;9.7;GABY
